"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.300645833E-2,-2.600093079E-1,1.203497314E-1,9.764195251E0,9.768397914E0
4.302145833E-2,-2.652484131E-1,1.213975525E-1,9.784552917E0,9.788900341E0
5.303745833E-2,-2.772235107E-1,1.163081360E-1,9.780810699E0,9.785429903E0
6.305245833E-2,-2.719844055E-1,1.122665405E-1,9.787846069E0,9.792267867E0
7.306845833E-2,-2.715353394E-1,1.139131165E-1,9.789941711E0,9.794369115E0
8.308445833E-2,-2.697390747E-1,1.182540894E-1,9.782457275E0,9.786889881E0
9.309945833E-2,-2.761756897E-1,1.276844788E-1,9.780960388E0,9.785691721E0
1.031154583E-1,-2.782713318E-1,1.224453735E-1,9.781708832E0,9.786432214E0
1.131304583E-1,-2.790197754E-1,1.176553345E-1,9.777667236E0,9.782355105E0
1.231464583E-1,-2.767744446E-1,1.143621826E-1,9.781559143E0,9.786142349E0
1.331614583E-1,-2.727328491E-1,1.218466187E-1,9.779463501E0,9.784024539E0
1.431774583E-1,-2.772235107E-1,1.204994202E-1,9.782756653E0,9.787425643E0
1.531934583E-1,-2.815644836E-1,1.116677856E-1,9.791139221E0,9.795823370E0
1.632084583E-1,-2.709365845E-1,1.146615601E-1,9.784253540E0,9.788675663E0
1.732244583E-1,-2.731819153E-1,1.148112488E-1,9.788594513E0,9.793078807E0
1.832394583E-1,-2.748284912E-1,1.055305481E-1,9.781259766E0,9.785689041E0
1.932554583E-1,-2.715353394E-1,1.164578247E-1,9.785151672E0,9.789611183E0
2.032704583E-1,-2.739303589E-1,1.200503540E-1,9.779313812E0,9.783886169E0
2.132864583E-1,-2.784210205E-1,1.143621826E-1,9.785001984E0,9.789630268E0
2.233024583E-1,-2.728825378E-1,1.216969299E-1,9.783954163E0,9.788515417E0
2.333174583E-1,-2.736309814E-1,1.146615601E-1,9.782307587E0,9.786805552E0
2.433334583E-1,-2.698887634E-1,1.225950623E-1,9.791288910E0,9.795775008E0
2.533484583E-1,-2.700384521E-1,1.151106262E-1,9.783954163E0,9.788356873E0
2.633644583E-1,-2.700384521E-1,1.181044006E-1,9.781858521E0,9.786297846E0
2.733794583E-1,-2.685415649E-1,1.158590698E-1,9.788744202E0,9.793112424E0
2.833954583E-1,-2.763253784E-1,1.131646729E-1,9.780661011E0,9.785218023E0
2.934114583E-1,-2.728825378E-1,1.085243225E-1,9.783954163E0,9.788360509E0
3.034264583E-1,-2.734812927E-1,1.219963074E-1,9.781409454E0,9.785992338E0
3.134424583E-1,-2.704875183E-1,1.207987976E-1,9.781708832E0,9.786193515E0
3.234574583E-1,-2.763253784E-1,1.137634277E-1,9.779762878E0,9.784327253E0
3.334734583E-1,-2.700384521E-1,1.178050232E-1,9.779014435E0,9.783451441E0
3.434884583E-1,-2.661465454E-1,1.166075134E-1,9.789492645E0,9.793804039E0
3.535044583E-1,-2.727328491E-1,1.151106262E-1,9.784103851E0,9.788581196E0
3.635204583E-1,-2.815644836E-1,1.148112488E-1,9.785451050E0,9.790174280E0
3.735354583E-1,-2.733316040E-1,1.243913269E-1,9.797276459E0,9.801877850E0
3.835514583E-1,-2.761756897E-1,1.124162292E-1,9.774224396E0,9.778771547E0
3.935664583E-1,-2.730322266E-1,1.157093811E-1,9.780211945E0,9.784706482E0
4.035824583E-1,-2.743794250E-1,1.225950623E-1,9.787546692E0,9.792159305E0
4.135974583E-1,-2.763253784E-1,1.145118713E-1,9.776918793E0,9.781493228E0
4.236134583E-1,-2.721340942E-1,1.275347900E-1,9.784103851E0,9.788718520E0
4.336294583E-1,-2.736309814E-1,1.190025330E-1,9.782307587E0,9.786857373E0
4.436444583E-1,-2.751278687E-1,1.266366577E-1,9.784253540E0,9.788940163E0
4.536604583E-1,-2.653981018E-1,1.191522217E-1,9.787696381E0,9.792018885E0
4.636758333E-1,-2.731819153E-1,1.136137390E-1,9.786199493E0,9.790670915E0
4.736918333E-1,-2.700384521E-1,1.124162292E-1,9.785301361E0,9.789672155E0
4.837078333E-1,-2.766247559E-1,1.240919495E-1,9.782307587E0,9.787004740E0
4.937228333E-1,-2.782713318E-1,1.182540894E-1,9.779313812E0,9.783986795E0
5.037388333E-1,-2.769241333E-1,1.173559570E-1,9.786947937E0,9.791568277E0
5.137538333E-1,-2.754272461E-1,1.158590698E-1,9.781858521E0,9.786421185E0
5.237698333E-1,-2.686912537E-1,1.086740112E-1,9.781858521E0,9.786151498E0
5.337848333E-1,-2.740800476E-1,1.163081360E-1,9.780511322E0,9.785042114E0
5.438008333E-1,-2.728825378E-1,1.158590698E-1,9.784552917E0,9.789043058E0
5.538168333E-1,-2.709365845E-1,1.181044006E-1,9.782157898E0,9.786621911E0
5.638318333E-1,-2.740800476E-1,1.242416382E-1,9.774224396E0,9.778855679E0
5.738478333E-1,-2.646496582E-1,1.216969299E-1,9.783654785E0,9.787990117E0
5.838628333E-1,-2.671943665E-1,1.181044006E-1,9.777517548E0,9.781880743E0
5.938788333E-1,-2.689906311E-1,1.194515991E-1,9.787247314E0,9.791671698E0
6.038938333E-1,-2.757266235E-1,1.194515991E-1,9.777966614E0,9.782582734E0
6.139098333E-1,-2.742297363E-1,1.145118713E-1,9.784103851E0,9.788615995E0
6.239258333E-1,-2.743794250E-1,1.146615601E-1,9.785750427E0,9.790267758E0
6.339408333E-1,-2.688409424E-1,1.166075134E-1,9.784702606E0,9.789089736E0
6.439568333E-1,-2.718347168E-1,1.122665405E-1,9.784852295E0,9.789271287E0
6.539718333E-1,-2.722837830E-1,1.188528442E-1,9.782756653E0,9.787266839E0
6.639878333E-1,-2.764750671E-1,1.204994202E-1,9.783654785E0,9.788302178E0
6.740028333E-1,-2.773731995E-1,1.231938171E-1,9.787696381E0,9.792400781E0
6.840188333E-1,-2.757266235E-1,1.083746338E-1,9.786498871E0,9.790982095E0
6.940338333E-1,-2.718347168E-1,1.112187195E-1,9.792187042E0,9.796590774E0
7.040498333E-1,-2.704875183E-1,1.193019104E-1,9.781409454E0,9.785875912E0
7.140658333E-1,-2.712359619E-1,1.133143616E-1,9.787247314E0,9.791660691E0
7.240808333E-1,-2.829116821E-1,1.154100037E-1,9.785001984E0,9.789771310E0
7.340968333E-1,-2.733316040E-1,1.190025330E-1,9.782756653E0,9.787297865E0
7.441118333E-1,-2.740800476E-1,1.161584473E-1,9.774673462E0,9.779205180E0
7.541278333E-1,-2.688409424E-1,1.263372803E-1,9.782157898E0,9.786666935E0
7.641438333E-1,-2.733316040E-1,1.169068909E-1,9.787097626E0,9.791611579E0
7.741588333E-1,-2.770738220E-1,1.193019104E-1,9.780211945E0,9.784863235E0
7.841748333E-1,-2.766247559E-1,1.230441284E-1,9.786349182E0,9.791031173E0
7.941898333E-1,-2.772235107E-1,1.166075134E-1,9.775571594E0,9.780196838E0
8.042058333E-1,-2.679428101E-1,1.207987976E-1,9.786199493E0,9.790612148E0
8.142208333E-1,-2.764750671E-1,1.210981750E-1,9.783654785E0,9.788309567E0
8.242368333E-1,-2.698887634E-1,1.187031555E-1,9.781259766E0,9.785702478E0
8.342528333E-1,-2.796185303E-1,1.193019104E-1,9.781858521E0,9.786581404E0
8.442678333E-1,-2.757266235E-1,1.176553345E-1,9.784403229E0,9.788994560E0
8.542838333E-1,-2.691403198E-1,1.088237000E-1,9.784552917E0,9.788858713E0
8.642988333E-1,-2.628533936E-1,1.164578247E-1,9.773026886E0,9.777254668E0
8.743148333E-1,-2.712359619E-1,1.163081360E-1,9.773625641E0,9.778080318E0
8.843298333E-1,-2.746788025E-1,1.230441284E-1,9.770781555E0,9.775416129E0
8.943458333E-1,-2.668949890E-1,1.188528442E-1,9.777068481E0,9.781432770E0
9.043608333E-1,-2.790197754E-1,1.216969299E-1,9.785451050E0,9.790184596E0
9.143768333E-1,-2.694396973E-1,1.254391479E-1,9.780361633E0,9.784876413E0
9.243928333E-1,-2.734812927E-1,1.169068909E-1,9.789492645E0,9.794009674E0
9.344078333E-1,-2.689906311E-1,1.139131165E-1,9.792187042E0,9.796543228E0
9.444238333E-1,-2.742297363E-1,1.124162292E-1,9.785900116E0,9.790387144E0
9.544388333E-1,-2.770738220E-1,1.137634277E-1,9.784103851E0,9.788687358E0
9.644548333E-1,-2.710862732E-1,1.199006653E-1,9.779912567E0,9.784403597E0
9.744698333E-1,-2.707868958E-1,1.172062683E-1,9.792486420E0,9.796930802E0
9.844858333E-1,-2.775228882E-1,1.215472412E-1,9.783654785E0,9.788344786E0
9.945018333E-1,-2.754272461E-1,1.121168518E-1,9.776320038E0,9.780841673E0
1.004516833E0,-2.797682190E-1,1.079255676E-1,9.789792023E0,9.794383392E0
1.014532833E0,-2.772235107E-1,1.233435059E-1,9.794731750E0,9.799430420E0
1.024547833E0,-2.776725769E-1,1.157093811E-1,9.783654785E0,9.788278279E0
1.034563833E0,-2.749781799E-1,1.199006653E-1,9.787696381E0,9.792292357E0
1.044578833E0,-2.779719543E-1,1.173559570E-1,9.785451050E0,9.790101791E0
1.054594833E0,-2.784210205E-1,1.131646729E-1,9.780810699E0,9.785427045E0
1.064610833E0,-2.755769348E-1,1.228944397E-1,9.787696381E0,9.792346304E0
1.074625833E0,-2.639012146E-1,1.067280579E-1,9.776619415E0,9.780762850E0
1.084641833E0,-2.781216431E-1,1.145118713E-1,9.780062256E0,9.784686114E0
1.094656833E0,-2.724334717E-1,1.100212097E-1,9.783804474E0,9.788215090E0
1.104672833E0,-2.703378296E-1,1.172062683E-1,9.782906342E0,9.787342660E0
1.114687833E0,-2.710862732E-1,1.125659180E-1,9.774972839E0,9.779378961E0
1.124703833E0,-2.697390747E-1,1.204994202E-1,9.775122528E0,9.779585866E0
1.134718833E0,-2.718347168E-1,1.206491089E-1,9.775721283E0,9.780244216E0
1.144734833E0,-2.685415649E-1,1.179547119E-1,9.779463501E0,9.783860907E0
1.154750833E0,-2.665956116E-1,1.161584473E-1,9.776170349E0,9.780494502E0
1.164765833E0,-2.719844055E-1,1.082249451E-1,9.777667236E0,9.782048085E0
1.174781833E0,-2.725831604E-1,1.155596924E-1,9.786049805E0,9.790527381E0
1.184796833E0,-2.710862732E-1,1.227447510E-1,9.780511322E0,9.785037341E0
1.194812833E0,-2.754272461E-1,1.109193420E-1,9.780361633E0,9.784867753E0
1.204827833E0,-2.730322266E-1,1.155596924E-1,9.781708832E0,9.786200913E0
1.214843833E0,-2.752775574E-1,1.233435059E-1,9.778565369E0,9.783216855E0
1.224859833E0,-2.731819153E-1,1.164578247E-1,9.780960388E0,9.785467638E0
1.234874833E0,-2.659968567E-1,1.234931946E-1,9.781409454E0,9.785804812E0
1.244890833E0,-2.725831604E-1,1.202000427E-1,9.781259766E0,9.785795432E0
1.254905833E0,-2.725831604E-1,1.142124939E-1,9.778265991E0,9.782731309E0
1.264921833E0,-2.752775574E-1,1.173559570E-1,9.778565369E0,9.783143198E0
1.274936833E0,-2.778222656E-1,1.182540894E-1,9.787696381E0,9.792352612E0
1.284952833E0,-2.736309814E-1,1.216969299E-1,9.784852295E0,9.789434023E0
1.294968833E0,-2.754272461E-1,1.151106262E-1,9.776769104E0,9.781325306E0
1.304983833E0,-2.793191528E-1,1.140628052E-1,9.785600739E0,9.790250831E0
1.314999833E0,-2.661465454E-1,1.163081360E-1,9.772727509E0,9.777042729E0
1.325014833E0,-2.743794250E-1,1.234931946E-1,9.781858521E0,9.786485107E0
1.335030833E0,-2.754272461E-1,1.240919495E-1,9.788893890E0,9.793554134E0
1.345045833E0,-2.639012146E-1,1.246907043E-1,9.785600739E0,9.789952678E0
1.355061833E0,-2.683918762E-1,1.178050232E-1,9.784103851E0,9.788493265E0
1.365076833E0,-2.770738220E-1,1.293310547E-1,9.786049805E0,9.790825665E0
1.375092833E0,-2.824626160E-1,1.204994202E-1,9.786349182E0,9.791166200E0
1.385108833E0,-2.788700867E-1,1.182540894E-1,9.781259766E0,9.785948863E0
1.395123833E0,-2.718347168E-1,1.130149841E-1,9.786049805E0,9.790476867E0
1.405139833E0,-2.805166626E-1,1.113684082E-1,9.783505096E0,9.788159403E0
1.415154833E0,-2.767744446E-1,1.085243225E-1,9.789941711E0,9.794454571E0
1.425170833E0,-2.740800476E-1,1.134640503E-1,9.781110077E0,9.785607201E0
1.435185833E0,-2.797682190E-1,1.219963074E-1,9.778265991E0,9.783028118E0
1.445201833E0,-2.767744446E-1,1.255888367E-1,9.783205719E0,9.787925765E0
1.455217458E0,-2.703378296E-1,1.181044006E-1,9.783954163E0,9.788400801E0
1.465232458E0,-2.755769348E-1,1.157093811E-1,9.792187042E0,9.796747337E0
1.475248458E0,-2.742297363E-1,1.131646729E-1,9.788295135E0,9.792789687E0
1.485263458E0,-2.766247559E-1,1.152603149E-1,9.779014435E0,9.783605139E0
1.495279458E0,-2.722837830E-1,1.143621826E-1,9.787546692E0,9.792001196E0
1.505294458E0,-2.772235107E-1,1.173559570E-1,9.789043579E0,9.793671400E0
1.515310458E0,-2.773731995E-1,1.109193420E-1,9.783954163E0,9.788513577E0
1.525325458E0,-2.826123047E-1,1.125659180E-1,9.776918793E0,9.781650264E0
1.535341458E0,-2.709365845E-1,1.158590698E-1,9.790540466E0,9.794973843E0
1.545357458E0,-2.730322266E-1,1.116677856E-1,9.781708832E0,9.786155729E0
1.555372458E0,-2.703378296E-1,1.163081360E-1,9.783505096E0,9.787930430E0
1.565388458E0,-2.754272461E-1,1.167572021E-1,9.786947937E0,9.791518898E0
1.575403458E0,-2.751278687E-1,1.176553345E-1,9.792037354E0,9.796608273E0
1.585419458E0,-2.733316040E-1,1.118174744E-1,9.780960388E0,9.785417693E0
1.595434458E0,-2.736309814E-1,1.145118713E-1,9.784253540E0,9.788748859E0
1.605450458E0,-2.664459229E-1,1.197509766E-1,9.779313812E0,9.783675810E0
1.615465458E0,-2.631527710E-1,1.161584473E-1,9.779014435E0,9.783244118E0
1.625481458E0,-2.739303589E-1,1.181044006E-1,9.786798248E0,9.791343444E0
1.635497458E0,-2.803669739E-1,1.243913269E-1,9.784852295E0,9.789658486E0
1.645512458E0,-2.695893860E-1,1.251397705E-1,9.781559143E0,9.786073659E0
1.655528458E0,-2.758763123E-1,1.161584473E-1,9.783505096E0,9.788083188E0
1.665543458E0,-2.817141724E-1,1.139131165E-1,9.785301361E0,9.790018478E0
1.675559458E0,-2.742297363E-1,1.110690308E-1,9.782157898E0,9.786631260E0
1.685574458E0,-2.725831604E-1,1.091230774E-1,9.787097626E0,9.791500874E0
1.695590458E0,-2.772235107E-1,1.125659180E-1,9.786498871E0,9.791071653E0
1.705605458E0,-2.767744446E-1,1.210981750E-1,9.787546692E0,9.792208081E0
1.715621458E0,-2.718347168E-1,1.272354126E-1,9.784253540E0,9.788855924E0
1.725637458E0,-2.718347168E-1,1.209484863E-1,9.779613190E0,9.784138020E0
1.735652458E0,-2.737806702E-1,1.130149841E-1,9.790839844E0,9.795318938E0
1.745668458E0,-2.697390747E-1,1.155596924E-1,9.784253540E0,9.788653153E0
1.755683458E0,-2.703378296E-1,1.139131165E-1,9.790241089E0,9.794635232E0
1.765699458E0,-2.716850281E-1,1.110690308E-1,9.789642334E0,9.794041357E0
1.775714458E0,-2.712359619E-1,1.204994202E-1,9.781559143E0,9.786060920E0
1.785730458E0,-2.721340942E-1,1.146615601E-1,9.777517548E0,9.781975957E0
1.795745458E0,-2.718347168E-1,1.134640503E-1,9.789193268E0,9.793624101E0
1.805761458E0,-2.736309814E-1,1.202000427E-1,9.783205719E0,9.787769721E0
1.815777458E0,-2.725831604E-1,1.140628052E-1,9.782756653E0,9.787218176E0
1.825792458E0,-2.694396973E-1,1.164578247E-1,9.779164124E0,9.783568425E0
1.835808458E0,-2.767744446E-1,1.199006653E-1,9.778715057E0,9.783365905E0
1.845823458E0,-2.764750671E-1,1.216969299E-1,9.778715057E0,9.783379619E0
1.855839458E0,-2.716850281E-1,1.088237000E-1,9.770931244E0,9.775313434E0
1.865854458E0,-2.704875183E-1,1.154100037E-1,9.782157898E0,9.786577344E0
1.875870458E0,-2.764750671E-1,1.148112488E-1,9.780960388E0,9.785540670E0
1.885885458E0,-2.685415649E-1,1.206491089E-1,9.787097626E0,9.791524433E0
1.895901458E0,-2.721340942E-1,1.194515991E-1,9.786648560E0,9.791160078E0
1.905917458E0,-2.793191528E-1,1.172062683E-1,9.777218170E0,9.781909407E0
1.915932458E0,-2.800675964E-1,1.172062683E-1,9.790091400E0,9.794797843E0
1.925948458E0,-2.760260010E-1,1.221459961E-1,9.789342957E0,9.793995381E0
1.935963458E0,-2.805166626E-1,1.112187195E-1,9.792037354E0,9.796685906E0
1.945979458E0,-2.700384521E-1,1.210981750E-1,9.785451050E0,9.789925321E0
1.955994458E0,-2.739303589E-1,1.203497314E-1,9.784103851E0,9.788677647E0
1.966010458E0,-2.695893860E-1,1.249900818E-1,9.777816925E0,9.782331255E0
1.976025458E0,-2.715353394E-1,1.196012878E-1,9.778415680E0,9.782916187E0
1.986041458E0,-2.749781799E-1,1.196012878E-1,9.772128754E0,9.776728382E0
1.996057458E0,-2.734812927E-1,1.155596924E-1,9.784403229E0,9.788906609E0
2.006072458E0,-2.722837830E-1,1.164578247E-1,9.782756653E0,9.787238048E0
2.016088458E0,-2.706372070E-1,1.291813660E-1,9.787397003E0,9.791990218E0
2.026103458E0,-2.737806702E-1,1.216969299E-1,9.785001984E0,9.789587827E0
2.036119458E0,-2.692900085E-1,1.157093811E-1,9.776769104E0,9.781161479E0
2.046134458E0,-2.736309814E-1,1.206491089E-1,9.786199493E0,9.790767623E0
2.056150458E0,-2.728825378E-1,1.275347900E-1,9.783355408E0,9.787991267E0
2.066165458E0,-2.725831604E-1,1.193019104E-1,9.786648560E0,9.791170745E0
2.076181458E0,-2.718347168E-1,1.137634277E-1,9.786798248E0,9.791233640E0
2.086197458E0,-2.721340942E-1,1.157093811E-1,9.782457275E0,9.786925767E0
2.096212458E0,-2.757266235E-1,1.175056458E-1,9.780960388E0,9.785551536E0
2.106228458E0,-2.730322266E-1,1.083746338E-1,9.774523773E0,9.778936888E0
2.116243458E0,-2.736309814E-1,1.101708984E-1,9.778265991E0,9.782714211E0
2.126259458E0,-2.686912537E-1,1.085243225E-1,9.782756653E0,9.787047576E0
2.136274458E0,-2.656974792E-1,1.242416382E-1,9.779613190E0,9.784010695E0
2.146290458E0,-2.673440552E-1,1.251397705E-1,9.778715057E0,9.783169271E0
2.156305458E0,-2.712359619E-1,1.134640503E-1,9.783355408E0,9.787772273E0
2.166321458E0,-2.662962341E-1,1.109193420E-1,9.784702606E0,9.788954075E0
2.176336458E0,-2.680924988E-1,1.207987976E-1,9.778565369E0,9.782985567E0
2.186352458E0,-2.715353394E-1,1.103205872E-1,9.779912567E0,9.784303342E0
2.196368458E0,-2.695893860E-1,1.088237000E-1,9.786498871E0,9.790816165E0
2.206383458E0,-2.740800476E-1,1.216969299E-1,9.787846069E0,9.792438955E0
2.216399458E0,-2.760260010E-1,1.160087585E-1,9.778265991E0,9.782848981E0
2.226414458E0,-2.676434326E-1,1.194515991E-1,9.787097626E0,9.791485159E0
2.236430458E0,-2.779719543E-1,1.166075134E-1,9.789941711E0,9.794581381E0
2.246445458E0,-2.757266235E-1,1.181044006E-1,9.782008209E0,9.786606073E0
2.256461458E0,-2.749781799E-1,1.140628052E-1,9.787397003E0,9.791923377E0
2.266476458E0,-2.730322266E-1,1.164578247E-1,9.787696381E0,9.792196355E0
2.276492458E0,-2.695893860E-1,1.128652954E-1,9.775122528E0,9.779490654E0
2.286508458E0,-2.752775574E-1,1.145118713E-1,9.778116302E0,9.782660636E0
2.296523458E0,-2.734812927E-1,1.194515991E-1,9.781110077E0,9.785661707E0
2.306539458E0,-2.703378296E-1,1.167572021E-1,9.780960388E0,9.785392220E0
2.316554458E0,-2.734812927E-1,1.149609375E-1,9.785600739E0,9.790096519E0
2.326570458E0,-2.718347168E-1,1.170565796E-1,9.785151672E0,9.789626633E0
2.336585458E0,-2.724334717E-1,1.155596924E-1,9.776619415E0,9.781097138E0
2.346601458E0,-2.779719543E-1,1.191522217E-1,9.784702606E0,9.789375401E0
2.356616458E0,-2.758763123E-1,1.166075134E-1,9.773026886E0,9.777615229E0
2.366632458E0,-2.745291138E-1,1.263372803E-1,9.778864746E0,9.783533261E0
2.376648458E0,-2.743794250E-1,1.197509766E-1,9.788295135E0,9.792872205E0
2.386663458E0,-2.682421875E-1,1.173559570E-1,9.782606964E0,9.786987550E0
2.396679458E0,-2.718347168E-1,1.145118713E-1,9.786199493E0,9.790643881E0
2.406694458E0,-2.697390747E-1,1.148112488E-1,9.790390778E0,9.794778832E0
2.416710458E0,-2.754272461E-1,1.175056458E-1,9.791588287E0,9.796166032E0
2.426725458E0,-2.718347168E-1,1.200503540E-1,9.777667236E0,9.782181903E0
2.436741458E0,-2.736309814E-1,1.143621826E-1,9.775272217E0,9.779769912E0
2.446756458E0,-2.787203979E-1,1.140628052E-1,9.794731750E0,9.799360461E0
2.456773208E0,-2.770738220E-1,1.175056458E-1,9.782756653E0,9.787385004E0
2.466788208E0,-2.725831604E-1,1.311273193E-1,9.780511322E0,9.785187667E0
2.476804208E0,-2.781216431E-1,1.240919495E-1,9.787696381E0,9.792433349E0
2.486820208E0,-2.763253784E-1,1.167572021E-1,9.784403229E0,9.789000690E0
2.496835208E0,-2.776725769E-1,1.257385254E-1,9.783056030E0,9.787803509E0
2.506851208E0,-2.778222656E-1,1.248403931E-1,9.795330505E0,9.800064798E0
2.516866208E0,-2.710862732E-1,1.234931946E-1,9.791139221E0,9.795669736E0
2.526882208E0,-2.769241333E-1,1.133143616E-1,9.781858521E0,9.786433632E0
2.536897208E0,-2.796185303E-1,1.088237000E-1,9.779313812E0,9.783915768E0
2.546913208E0,-2.743794250E-1,1.187031555E-1,9.791887665E0,9.796450303E0
2.556928208E0,-2.719844055E-1,1.170565796E-1,9.790241089E0,9.794717879E0
2.566944208E0,-2.695893860E-1,1.157093811E-1,9.777966614E0,9.782366697E0
2.576959208E0,-2.692900085E-1,1.200503540E-1,9.777367859E0,9.781812278E0
2.586975208E0,-2.778222656E-1,1.203497314E-1,9.786349182E0,9.791031589E0
2.596991208E0,-2.793191528E-1,1.160087585E-1,9.784103851E0,9.788777523E0
2.607006208E0,-2.761756897E-1,1.187031555E-1,9.778715057E0,9.783334382E0
2.617022208E0,-2.728825378E-1,1.142124939E-1,9.788893890E0,9.793362700E0
2.627037208E0,-2.692900085E-1,1.163081360E-1,9.781259766E0,9.785657223E0
2.637053208E0,-2.737806702E-1,1.169068909E-1,9.777667236E0,9.782198100E0
2.647068208E0,-2.722837830E-1,1.151106262E-1,9.780211945E0,9.784678564E0
2.657084208E0,-2.712359619E-1,1.161584473E-1,9.790989532E0,9.795434536E0
